A1	SBC001173
A2	SBC001175
A3	SBC001170
A4	SBC001158
A5	SBC001164
A6	SBC001163
A7	SBC001164
A8	SBC001167
B1	SBC001166
B2	SBC001172
B3	SBC001156
B4	SBC001165
B5	SBC001171
B6	SBC001169
B7	SBC001174
B8	SBC001160
C1	SBC001168
C2	SBC001155
C3	SBC001336
C4	SBC001337
C5	SBC001337
C6	SBC001336
C7	SBC001337
C8	SBC001336
