A1	SBC002257
A2	SBC002253
A3	SBC002231
A4	SBC002234
A5	SBC002247
A6	SBC002258
A7	SBC002259
A8	SBC002241
B1	SBC002242
B2	SBC002238
B3	SBC002243
B4	SBC002233
B5	SBC002248
B6	SBC002239
B7	SBC002236
B8	SBC002244
C1	SBC002254
C2	SBC002251
C3	SBC002256
C4	SBC002232
C5	SBC002237
C6	SBC002246
C7	SBC002249
C8	SBC002252
